,topic,title,main,reporter,day,주제,제목,메인,기자,날짜
0,Legal Issues,"D.C.’s bitcoin king: Yachts, penthouses, a python — and tax dodging?",A case provides a stunning look at Michael Saylor’s lavish lifestyle and may provide a new playbook for holding ultrawealthy tax cheats accountable.,By Justin Jouvenal,"November 14, 2022 at 9:00 PM GMT+9",법적인 문제,"D.C.의 비트 코인 킹 : 요트, 펜트 하우스, 파이썬 - 및 세금 회피?",A case provides a stunning look at Michael Saylor’s lavish lifestyle and may provide a new playbook for holding ultrawealthy tax cheats accountable.,By Justin Jouvenal,"November 14, 2022 at 9:00 PM GMT+9"
1,World,Woman killed and swallowed whole by 22-foot python,"The python attack claimed the life of a tree tapper, 54, on a rubber plantation in the Indonesian province of Jambi.",By Leo Sands,"October 26, 2022 at 11:13 PM GMT+9",세계,여자는 22 피트의 파이썬으로 죽이고 삼켰다,"The python attack claimed the life of a tree tapper, 54, on a rubber plantation in the Indonesian province of Jambi.",By Leo Sands,"October 26, 2022 at 11:13 PM GMT+9"
2,Arts & Entertainment,Review | The story of Europe’s infamous witch trials gets the Monty Python treatment,The comedy that runs through Rivka Galchen’s “Everyone Knows Your Mother Is a Witch” is a magical brew of absurdity and brutality.,By Ron Charles,"May 25, 2021 at 8:04 AM GMT+9",예술 및 엔터테인먼트,검토 |유럽의 악명 높은 마녀 재판에 대한 이야기는 Monty Python 치료를받습니다.,The comedy that runs through Rivka Galchen’s “Everyone Knows Your Mother Is a Witch” is a magical brew of absurdity and brutality.,By Ron Charles,"May 25, 2021 at 8:04 AM GMT+9"
3,Opinions,Opinion | President Trump has become a delusional character out of Monty Python,"The 2020 election outcome has never really been in doubt, at least not by people in touch with reality.",By Karen Tumulty,"December 15, 2020 at 5:39 AM GMT+9",의견,의견 |트럼프 대통령은 Monty Python에서 망상 캐릭터가되었습니다.,"The 2020 election outcome has never really been in doubt, at least not by people in touch with reality.",By Karen Tumulty,"December 15, 2020 at 5:39 AM GMT+9"
4,Obituaries,"Terry Jones, charter member of Monty Python comedy team, dies at 77","His career embraced the erudite, the naughty and the gleefully idiotic. His roles included a revoltingly obese gourmand and the annoyed mother of an accidental messiah named Brian.",By Adam Bernstein,"January 22, 2020 at 10:37 PM GMT+9",사망 기사,Monty Python 코미디 팀의 전세 멤버 인 Terry Jones는 77 세로 사망합니다.,"His career embraced the erudite, the naughty and the gleefully idiotic. His roles included a revoltingly obese gourmand and the annoyed mother of an accidental messiah named Brian.",By Adam Bernstein,"January 22, 2020 at 10:37 PM GMT+9"
5,Science,"Santa now asks dogs, cats, parrots and pythons: Have you been a very good boy?","More than ever, Christmas cards include animals. And more than ever, Santas accustomed to soothing crying children must also know how to handle wriggling critters.",By Karin Brulliard,"December 20, 2019 at 10:00 PM GMT+9",과학,"산타는 이제 개, 고양이, 앵무새 및 파이썬을 묻습니다. 당신은 아주 좋은 소년 이었습니까?","More than ever, Christmas cards include animals. And more than ever, Santas accustomed to soothing crying children must also know how to handle wriggling critters.",By Karin Brulliard,"December 20, 2019 at 10:00 PM GMT+9"
6,Science,"A 17-foot, 140-pound python was captured in a Florida park. Officials say it’s a record.",Officials used radio transmitters to find the female python.,By Katie Mettler,"April 08, 2019 at 5:33 AM GMT+9",과학,"플로리다 공원에서 17 피트, 140 파운드 파이썬이 캡처되었습니다.관계자들은 그것이 기록이라고 말합니다.",Officials used radio transmitters to find the female python.,By Katie Mettler,"April 08, 2019 at 5:33 AM GMT+9"
7,Transportation,Python found in woman’s shoe after flight,A woman found a python in her shoe in her suitcase after she returned from a trip to Australia.,By Dana Hedgpeth,"February 26, 2019 at 10:41 PM GMT+9",교통,비행 후 여성의 신발에서 발견 된 파이썬,A woman found a python in her shoe in her suitcase after she returned from a trip to Australia.,By Dana Hedgpeth,"February 26, 2019 at 10:41 PM GMT+9"
8,Science,Two men found pythons trapped in their grill. They called an 81-year-old grandma for help.,Faye Morgan said she lives on a farm and isn't afraid of snakes.,By Amy B Wang,"August 31, 2018 at 6:16 AM GMT+9",과학,두 남자가 그릴에 갇힌 파이썬을 발견했습니다.그들은 81 세의 할머니에게 도움을 요청했습니다.,Faye Morgan said she lives on a farm and isn't afraid of snakes.,By Amy B Wang,"August 31, 2018 at 6:16 AM GMT+9"
9,"D.C., Md. & Va.","Missing python found miles from home, slithering in man’s toilet bowl","""We realized it was real,” said the man who found the snake.",By Justin Wm. Moyer,"July 21, 2018 at 6:02 AM GMT+9","D.C., Md. & VA.","누락 된 파이썬이 집에서 몇 마일을 발견하고, 남자의 화장실에서 미끄러 져","""We realized it was real,” said the man who found the snake.",By Justin Wm. Moyer,"July 21, 2018 at 6:02 AM GMT+9"
10,Gridlock,Snake on a plane: Man tries to sneak python on board by hiding it inside a computer hard drive,Neither the snake nor the man made the Barbados-bound flight from Miami International Airport on Sunday.,By Dana Hedgpeth,"July 10, 2018 at 9:25 PM GMT+9",그리드 락,비행기의 뱀 : Man은 컴퓨터 하드 드라이브 안에 숨어 파이썬을 탑승하려고합니다.,Neither the snake nor the man made the Barbados-bound flight from Miami International Airport on Sunday.,By Dana Hedgpeth,"July 10, 2018 at 9:25 PM GMT+9"
11,Animals,A forest ranger posed for a selfie with a python he had captured. It nearly strangled him.,"Some residents hoisted smartphones, motioning for others to cram in closer to the forest ranger and the beast he had captured. A child sat on a man's shoulders, craning to get into the picture.",By Cleve R. Wootson Jr.,"June 20, 2018 at 12:23 AM GMT+9",동물,숲 레인저는 그가 포착 한 파이썬으로 셀카를 썼습니다.그것은 거의 그를 교살했다.,"Some residents hoisted smartphones, motioning for others to cram in closer to the forest ranger and the beast he had captured. A child sat on a man's shoulders, craning to get into the picture.",By Cleve R. Wootson Jr.,"June 20, 2018 at 12:23 AM GMT+9"
12,World,A woman went to check her corn — and was swallowed by a python,It's the second time in two years that one of the rarest and most gruesome ways to die was documented in Indonesia.,By Avi Selk,"June 17, 2018 at 1:46 AM GMT+9",세계,한 여자는 옥수수를 확인하러 갔고 파이썬으로 삼켰습니다.,It's the second time in two years that one of the rarest and most gruesome ways to die was documented in Indonesia.,By Avi Selk,"June 17, 2018 at 1:46 AM GMT+9"
13,World,Giant pythons keep attacking people in Indonesia — and humans might be to blame,Robert Nababan was one of a group of people who tried to move the python from the middle of the road. Then it latched on.,By Cleve R. Wootson Jr.,"October 05, 2017 at 2:59 AM GMT+9",세계,거대한 파이썬은 인도네시아의 사람들을 계속 공격합니다. 인간은 비난을받을 수도 있습니다.,Robert Nababan was one of a group of people who tried to move the python from the middle of the road. Then it latched on.,By Cleve R. Wootson Jr.,"October 05, 2017 at 2:59 AM GMT+9"
14,Opinions,"Opinion | ‘Monty Python and the Holy Grail II: Tax Cuts for the Rich, the REAL Holy Grail’",A synopsis.,By Tom Toles,"September 27, 2017 at 11:11 PM GMT+9",의견,"의견 |‘Monty Python and the Holy Grail II : 부자, 진정한 성배를위한 세금 감면’",A synopsis.,By Tom Toles,"September 27, 2017 at 11:11 PM GMT+9"
15,"D.C., Md. & Va.",Python found in Arlington apartment house,But it was only a small snake.,By Martin Weil Martin Weil,"June 14, 2017 at 1:25 PM GMT+9","D.C., Md. & VA.",알링턴 아파트 하우스에서 발견 된 파이썬,But it was only a small snake.,By Martin Weil Martin Weil,"June 14, 2017 at 1:25 PM GMT+9"
16,World,An Indonesian man disappeared. Villagers found his body inside a 23-foot-long python.,"Python attacks on humans are extremely rare, but experts say it is physically possible for one to swallow an adult male whole.",By Amy B Wang,"March 30, 2017 at 3:45 AM GMT+9",세계,인도네시아 사람이 사라졌습니다.마을 사람들은 23 피트 길이의 파이썬 안에서 그의 몸을 발견했습니다.,"Python attacks on humans are extremely rare, but experts say it is physically possible for one to swallow an adult male whole.",By Amy B Wang,"March 30, 2017 at 3:45 AM GMT+9"
17,Animals,"You, too, can hunt pythons. One Florida agency is offering to pay you to kill them.","After pythons were discovered in Key Largo and on an island in Miami's Biscayne Bay, one Florida agency has had enough. It will pay people to hunt pythons.",By Darryl Fears,"March 14, 2017 at 3:25 AM GMT+9",동물,당신도 파이썬을 사냥 할 수 있습니다.플로리다 에이전시는 당신에게 그들을 죽이기 위해 당신을 지불하겠다고 제안합니다.,"After pythons were discovered in Key Largo and on an island in Miami's Biscayne Bay, one Florida agency has had enough. It will pay people to hunt pythons.",By Darryl Fears,"March 14, 2017 at 3:25 AM GMT+9"
